parent,Followed_by,Rank,N,Date
lernen,php,24,2,2018-11-09 01:43:02
historische,historisch kritische,20,2,2018-11-09 01:43:02
historische,historischen roman,21,2,2018-11-09 01:43:02
historische,altstadt,22,2,2018-11-09 01:43:02
historische,methode,23,2,2018-11-09 01:43:02
historische,historischer stadtkern,24,2,2018-11-09 01:43:02
historische,epoche,25,2,2018-11-09 01:43:02
kaufen,immobilien,2,1,2018-11-09 01:43:02
kaufen,verkaufen,3,1,2018-11-09 01:43:02
kaufen,haus,4,1,2018-11-09 01:43:02
kaufen,wohnung,5,1,2018-11-09 01:43:02
kaufen,häuser,6,1,2018-11-09 01:43:02
kaufen,mieten,7,1,2018-11-09 01:43:02
kaufen,shop,8,1,2018-11-09 01:43:02
kaufen,wohnungen,9,1,2018-11-09 01:43:02
kaufen,bücher,10,1,2018-11-09 01:43:02
kaufen,musik,11,1,2018-11-09 01:43:02
kaufen,apple,12,1,2018-11-09 01:43:02
kaufen,schuhe,13,1,2018-11-09 01:43:02
kaufen,immobilien kaufen,14,1,2018-11-09 01:43:02
kaufen,kauf,15,1,2018-11-09 01:43:02
kaufen,haus kaufen,16,1,2018-11-09 01:43:02
kaufen,immobilie,17,1,2018-11-09 01:43:02
kaufen,eigentumswohnungen,18,1,2018-11-09 01:43:02
portal,half life,1,2,2018-11-09 01:43:02
portal,steam,2,2,2018-11-09 01:43:02
portal,portale,3,2,2018-11-09 01:43:02
kaufen,wohnen,19,1,2018-11-09 01:43:02
kaufen,suchen,20,1,2018-11-09 01:43:02
kaufen,gebrauchte,21,1,2018-11-09 01:43:02
kaufen,eigentumswohnung,22,1,2018-11-09 01:43:02
kaufen,kleinanzeigen,23,1,2018-11-09 01:43:02
kaufen,spiele,24,1,2018-11-09 01:43:02
portal,portal 2,4,2,2018-11-09 01:43:02
portal,valve,5,2,2018-11-09 01:43:02
portal,architektur,6,2,2018-11-09 01:43:02
portal,source,7,2,2018-11-09 01:43:02
portal,mac,8,2,2018-11-09 01:43:02
portal,software,9,2,2018-11-09 01:43:02
portal,beiträge,10,2,2018-11-09 01:43:02
portal,mods,11,2,2018-11-09 01:43:02
portal,left,12,2,2018-11-09 01:43:02
portal,dead,13,2,2018-11-09 01:43:02
portal,deutschland,14,2,2018-11-09 01:43:02
portal,deutschsprachigen,15,2,2018-11-09 01:43:02
portal,counter strike,16,2,2018-11-09 01:43:02
portal,antwort,17,2,2018-11-09 01:43:02
portal,episode,18,2,2018-11-09 01:43:02
portal,computerspiel,19,2,2018-11-09 01:43:02
portal,informatik,20,2,2018-11-09 01:43:02
portal,team,21,2,2018-11-09 01:43:02
portal,spiel,22,2,2018-11-09 01:43:02
portal,eu,23,2,2018-11-09 01:43:02
portal,video,24,2,2018-11-09 01:43:02
prof,universität,1,2,2018-11-09 01:43:03
prof,münchen,2,2,2018-11-09 01:43:03
prof,institut,3,2,2018-11-09 01:43:03
prof,mitglied,4,2,2018-11-09 01:43:03
prof,psychotherapie,5,2,2018-11-09 01:43:03
prof,psychiatrie,6,2,2018-11-09 01:43:03
prof,forschung,7,2,2018-11-09 01:43:03
prof,deutschen,8,2,2018-11-09 01:43:03
prof,rahmen,9,2,2018-11-09 01:43:03
prof,stiftung,10,2,2018-11-09 01:43:03
prof,lmu,11,2,2018-11-09 01:43:03
prof,wissenschaftlichen,12,2,2018-11-09 01:43:03
prof,gefördert,13,2,2018-11-09 01:43:03
prof,professor,14,2,2018-11-09 01:43:03
prof,pdf,15,2,2018-11-09 01:43:03
prof,zentrum,16,2,2018-11-09 01:43:03
prof,chemie,17,2,2018-11-09 01:43:03
prof,hochschulen,18,2,2018-11-09 01:43:03
prof,professoren,19,2,2018-11-09 01:43:03
prof,deutschland,20,2,2018-11-09 01:43:03
prof,hochschule,21,2,2018-11-09 01:43:03
prof,professur,22,2,2018-11-09 01:43:03
prof,webseite,23,2,2018-11-09 01:43:03
prof,journal,24,2,2018-11-09 01:43:03
prof,lehre,25,2,2018-11-09 01:43:03
bayern,münchen,1,2,2018-11-09 01:43:03
bayern,fc,2,2,2018-11-09 01:43:03
bayern,league,3,2,2018-11-09 01:43:03
bayern,fc bayern,4,2,2018-11-09 01:43:03
bayern,bundesliga,5,2,2018-11-09 01:43:03
bayern,champions,6,2,2018-11-09 01:43:03
bayern,deutschland,7,2,2018-11-09 01:43:03
bayern,tourismus,8,2,2018-11-09 01:43:03
bayern,bundesland deutschland,9,2,2018-11-09 01:43:03
bayern,urlaub,10,2,2018-11-09 01:43:03
bayern,video,11,2,2018-11-09 01:43:03
bayern,spielbericht,12,2,2018-11-09 01:43:03
bayern,verein,13,2,2018-11-09 01:43:03
bayern,land,14,2,2018-11-09 01:43:03
bayern,süddeutsche,15,2,2018-11-09 01:43:03
bayern,br,16,2,2018-11-09 01:43:03
bayern,fcb,17,2,2018-11-09 01:43:03
bayern,radio,18,2,2018-11-09 01:43:03
bayern,tabelle,19,2,2018-11-09 01:43:03
bayern,bayerische,20,2,2018-11-09 01:43:03
bayern,oberbayern,21,2,2018-11-09 01:43:03
bayern,passau,22,2,2018-11-09 01:43:03
bayern,freistaat,23,2,2018-11-09 01:43:03
bayern,spielplan,24,2,2018-11-09 01:43:03
nürnberg,wetter,1,2,2018-11-09 01:43:03
nürnberg,nürnberger,2,2,2018-11-09 01:43:03
nürnberg,bayern,3,2,2018-11-09 01:43:03
nürnberg,region,4,2,2018-11-09 01:43:03
nürnberg,deutschland,5,2,2018-11-09 01:43:03
nürnberg,veranstaltungen,6,2,2018-11-09 01:43:03
nürnberg,markt,7,2,2018-11-09 01:43:03
nürnberg,airport,8,2,2018-11-09 01:43:03
nürnberg,hotel,9,2,2018-11-09 01:43:03
nürnberg,christkindlesmarkt,10,2,2018-11-09 01:43:03
nürnberg,zimmer,11,2,2018-11-09 01:43:03
nürnberg,weiterlesen,12,2,2018-11-09 01:43:03
nürnberg,wettervorhersage,13,2,2018-11-09 01:43:03
nürnberg,flughafen,14,2,2018-11-09 01:43:03
nürnberg,open,15,2,2018-11-09 01:43:03
nürnberg,london,16,2,2018-11-09 01:43:03
nürnberg,burg,17,2,2018-11-09 01:43:03
nürnberg,kultur,18,2,2018-11-09 01:43:03
immonet,immobilien,1,2,2018-11-09 01:43:03
immonet,hamburg,2,2,2018-11-09 01:43:03
nürnberg,stadt,19,2,2018-11-09 01:43:03
nürnberg,amsterdam,20,2,2018-11-09 01:43:03
nürnberg,nuernberg,21,2,2018-11-09 01:43:03
nürnberg,hilton,22,2,2018-11-09 01:43:03
nürnberg,vag,23,2,2018-11-09 01:43:03
nürnberg,kaiserburg nürnberg,24,2,2018-11-09 01:43:03
nürnberg,veröffentlicht,25,2,2018-11-09 01:43:03
immonet,wohnungen,3,2,2018-11-09 01:43:03
immonet,mieten,4,2,2018-11-09 01:43:03
immonet,häuser,5,2,2018-11-09 01:43:03
immonet,haus,6,2,2018-11-09 01:43:03
immonet,wohnung,7,2,2018-11-09 01:43:03
immonet,berlin,8,2,2018-11-09 01:43:03
immonet,app,9,2,2018-11-09 01:43:03
immonet,immobilienportale,10,2,2018-11-09 01:43:03
immonet,kaufen,11,2,2018-11-09 01:43:03
immonet,wohnen,12,2,2018-11-09 01:43:03
immonet,ipad,13,2,2018-11-09 01:43:03
immonet,deutschland,14,2,2018-11-09 01:43:03
immonet,zimmer,15,2,2018-11-09 01:43:03
immonet,iphone,16,2,2018-11-09 01:43:03
immonet,immobilienmarkt,17,2,2018-11-09 01:43:03
immonet,internetunternehmen,18,2,2018-11-09 01:43:03
immonet,unternehmen hamburg,19,2,2018-11-09 01:43:03
immonet,ipad app,20,2,2018-11-09 01:43:03
fahrzeuge,fahrzeug,1,2,2018-11-09 01:43:03
fahrzeuge,autos,2,2,2018-11-09 01:43:03
